Apothesis build on Wed Mar 22 11:03:20 2023
-------------------------------------------------

End time 1000.000000 sec
Temperature 1000.000000 K
Pressure 101325.000000 P
Random init num 0
Lattice SimpleCubic 100 100 
 
Processes
CO + * -> CO* constant 0.4000000000000000222044604925 
CO* + O* -> CO2* constant 1.e+15 
O2 + 2* -> 2O* constant 0.1499999999999999944488848769 all 


********************************************************************
Time (s)	Growth rate (ML/s)	RMS (-)	Micro-roughness (-)	O2 + 2* -> 2O* (4 N)	O2 + 2* -> 2O* (3 N)	O2 + 2* -> 2O* (2 N)	O2 + 2* -> 2O* (1 N)	CO* + O* -> CO2*	O2 + 2* -> 2O* (0 N)	CO + * -> CO*	O2 + 2* -> 2O* (4 N) (class size)	O2 + 2* -> 2O* (3 N) (class size)	O2 + 2* -> 2O* (2 N) (class size)	O2 + 2* -> 2O* (1 N) (class size)	CO* + O* -> CO2* (class size)	O2 + 2* -> 2O* (0 N) (class size)	CO + * -> CO* (class size)	O* (coverage)	CO* (coverage)	
0	0.000000	10.000000	1.000000	0	0	0	0	0	0	0	10000	0	0	0	0	0	10000	0.000000	0.000000	
0.100185014807464	0.116784	10.012277	1.045600	434	97	7	0	117	0	371	5272	2744	598	66	0	107	8787	0.095900	0.025400	
0.200386154737426	0.212572	10.034590	1.125200	685	222	33	0	330	0	718	2957	3169	1337	319	0	280	8062	0.155000	0.038800	
0.300454605057591	0.217851	10.057375	1.203400	798	349	86	6	548	0	1017	1868	2860	1756	664	0	453	7601	0.193000	0.046900	
0.400677065959575	0.243458	10.082817	1.284600	881	488	141	12	792	0	1283	1161	2447	2013	1019	0	617	7257	0.225200	0.049100	
0.500727886100016	0.263866	10.110272	1.370800	943	590	204	30	1056	0	1580	748	1970	2111	1380	0	789	6998	0.247800	0.052400	
0.601177623603439	0.232952	10.134555	1.444000	984	663	279	53	1290	0	1864	493	1574	2096	1632	0	963	6758	0.266800	0.057400	
0.701386940179526	0.192597	10.154531	1.494600	1001	720	336	81	1483	0	2109	353	1310	2042	1802	0	1074	6581	0.279300	0.062600	
0.801395103214547	0.202983	10.175500	1.548200	1015	765	403	116	1686	0	2366	264	1048	1911	1976	0	1209	6408	0.291200	0.068000	
0.901831554979453	0.187183	10.194920	1.595200	1027	811	461	149	1874	0	2612	189	871	1793	2095	0	1292	6240	0.302200	0.073800	
1.0018904196286	0.181893	10.213697	1.636400	1042	844	508	182	2056	0	2870	125	731	1679	2213	0	1342	6090	0.309600	0.081400	
1.10189227357238	0.153997	10.229575	1.670200	1047	877	559	220	2210	0	3078	88	585	1569	2233	0	1461	5936	0.319600	0.086800	
1.20204335593191	0.176733	10.247775	1.707400	1051	904	601	247	2387	0	3313	62	505	1477	2277	0	1534	5855	0.321900	0.092600	
1.30217457065151	0.175769	10.265939	1.740600	1056	925	656	288	2563	0	3551	50	409	1391	2287	0	1588	5725	0.328700	0.098800	
1.40240630067574	0.153644	10.281775	1.767200	1059	939	693	320	2717	0	3780	39	337	1329	2281	0	1646	5632	0.330500	0.106300	
1.50287742927371	0.173184	10.299714	1.800800	1062	956	736	354	2891	0	4007	25	295	1195	2309	0	1735	5559	0.332500	0.111600	
1.60372570430196	0.146755	10.315013	1.824400	1063	966	782	392	3039	0	4217	17	262	1094	2314	0	1768	5455	0.336700	0.117800	
1.7043545755296	0.134156	10.328901	1.846600	1063	978	808	429	3174	0	4438	13	232	1029	2268	0	1812	5354	0.338200	0.126400	
1.80438757262356	0.125958	10.341808	1.862200	1063	981	834	465	3300	0	4628	11	222	1026	2192	0	1835	5286	0.338600	0.132800	
1.90526719667623	0.119945	10.354260	1.883000	1063	991	859	506	3421	0	4811	8	187	952	2133	0	1913	5193	0.341700	0.139000	
2.00545069327163	0.146731	10.369349	1.903600	1063	1001	891	540	3568	0	5012	9	164	897	2090	0	1974	5134	0.342200	0.144400	
2.10567032739861	0.135702	10.383487	1.926000	1063	1009	922	576	3704	0	5196	10	150	825	2054	0	2033	5072	0.343600	0.149200	
2.2062301263844	0.138226	10.397841	1.947200	1063	1025	948	597	3843	0	5411	5	137	773	2001	0	2093	5009	0.342300	0.156800	
2.30646502262201	0.124707	10.410687	1.963800	1063	1032	973	620	3968	0	5621	3	109	738	1967	0	2122	4939	0.340800	0.165300	
