Apothesis build on Wed Mar 22 11:03:20 2023
-------------------------------------------------

End time 1000.000000 sec
Temperature 1000.000000 K
Pressure 101325.000000 P
Random init num 0
Lattice SimpleCubic 100 100 
 
Processes
CO + * -> CO* constant 0.80 
CO* + O* -> CO2* constant 1.e+15 
O2 + 2* -> 2O* constant 0.050 all 


********************************************************************
Time (s)	Growth rate (ML/s)	RMS (-)	Micro-roughness (-)	O2 + 2* -> 2O* (4 N)	O2 + 2* -> 2O* (3 N)	O2 + 2* -> 2O* (1 N)	O2 + 2* -> 2O* (0 N)	CO* + O* -> CO2*	O2 + 2* -> 2O* (2 N)	CO + * -> CO*	O2 + 2* -> 2O* (4 N) (class size)	O2 + 2* -> 2O* (3 N) (class size)	O2 + 2* -> 2O* (1 N) (class size)	O2 + 2* -> 2O* (0 N) (class size)	CO* + O* -> CO2* (class size)	O2 + 2* -> 2O* (2 N) (class size)	CO + * -> CO* (class size)	O* (coverage)	CO* (coverage)	
0	0.000000	10.000000	1.000000	0	0	0	0	0	0	0	10000	0	0	0	0	0	10000	0.000000	0.000000	
0.100018207372264	0.078986	10.008292	1.030200	146	26	0	0	79	1	783	5795	2622	62	65	0	485	9029	0.026700	0.070400	
0.200028158058628	0.155984	10.024645	1.089000	251	73	1	0	235	6	1446	3520	3188	242	188	0	1224	8362	0.042700	0.121100	
0.300034952063187	0.210986	10.046721	1.165000	304	124	3	0	446	20	2140	2121	3053	557	338	0	1781	7850	0.045600	0.169400	
0.400086131954846	0.204895	10.068123	1.234600	338	154	5	0	651	41	2778	1376	2756	820	479	0	2017	7448	0.042500	0.212700	
0.500217207393744	0.208726	10.089906	1.303800	357	196	15	0	860	70	3417	858	2226	1182	625	0	2136	7027	0.041600	0.255700	
0.600226243763083	0.188983	10.109555	1.360600	373	231	22	0	1049	90	3947	587	1877	1423	719	0	2113	6719	0.038300	0.289800	
0.700239039664119	0.143982	10.124500	1.404800	385	260	28	0	1193	111	4461	354	1491	1619	825	0	2068	6357	0.037500	0.326800	
0.800278488498815	0.150940	10.140158	1.447000	389	282	34	0	1344	130	5004	238	1158	1756	920	0	1942	6014	0.032600	0.366000	
0.900776976489039	0.130350	10.153733	1.486200	390	303	44	0	1475	153	5429	178	942	1790	1026	0	1805	5741	0.030500	0.395400	
1.00118971940933	0.114527	10.165658	1.514200	392	318	52	0	1590	172	5865	108	764	1816	1098	0	1661	5447	0.027800	0.427500	
1.10160852429843	0.092612	10.175259	1.539200	395	322	61	0	1683	190	6311	68	588	1786	1185	0	1492	5119	0.025300	0.462800	
1.20216057534715	0.095473	10.185171	1.567400	396	328	68	0	1779	218	6700	43	456	1784	1267	0	1288	4838	0.024100	0.492100	
1.30224800033509	0.084926	10.193949	1.586600	396	338	77	0	1864	235	7083	29	344	1724	1297	0	1159	4553	0.022800	0.521900	
1.40324179574456	0.073272	10.201608	1.603000	397	342	84	0	1938	249	7465	19	248	1614	1366	0	1020	4267	0.020600	0.552700	
1.50372382188401	0.042794	10.206062	1.613600	397	343	92	0	1981	258	7803	13	170	1542	1384	0	870	3979	0.019900	0.582200	
1.60440700623373	0.050654	10.211317	1.626000	397	344	100	0	2032	265	8113	6	138	1430	1409	0	756	3739	0.018000	0.608100	
1.70559008076712	0.044474	10.215953	1.633600	397	345	104	0	2077	270	8409	4	117	1363	1405	0	624	3513	0.015500	0.633200	
1.80569280146172	0.030968	10.219149	1.640600	397	346	112	0	2108	274	8682	2	71	1255	1407	0	541	3276	0.015000	0.657400	
1.90603025830999	0.036876	10.222989	1.647400	397	346	117	0	2145	278	8937	0	62	1182	1372	0	461	3077	0.013100	0.679200	
2.00609793279021	0.024983	10.225566	1.652400	397	347	123	0	2170	280	9172	0	45	1081	1356	0	392	2874	0.012400	0.700200	
2.10645188839606	0.026905	10.228338	1.658400	397	347	130	0	2197	283	9375	0	37	1007	1324	0	337	2705	0.011700	0.717800	
2.20657308256907	0.024970	10.230943	1.663400	397	347	133	0	2222	287	9586	0	32	920	1286	0	292	2530	0.010600	0.736400	
2.30669663139907	0.014981	10.232492	1.665000	397	348	135	0	2237	291	9789	0	27	827	1241	0	248	2343	0.010500	0.755200	
2.40774566991869	0.018803	10.234452	1.667200	397	349	138	0	2256	294	9970	0	22	762	1194	0	208	2186	0.010000	0.771400	
2.5081599803017	0.012946	10.235785	1.669000	397	349	139	0	2269	295	10134	0	18	708	1138	0	180	2044	0.009100	0.786500	
2.60821036176349	0.014992	10.237353	1.672400	397	349	143	0	2284	298	10298	0	15	639	1090	0	152	1896	0.009000	0.801400	
