Apothesis build on Wed Mar 22 11:03:20 2023
-------------------------------------------------

End time 1000.000000 sec
Temperature 1000.000000 K
Pressure 101325.000000 P
Random init num 0
Lattice SimpleCubic 100 100 
 
Processes
CO + * -> CO* constant 0.6000000000000000333066907387 
CO* + O* -> CO2* constant 1.e+15 
O2 + 2* -> 2O* constant 0.09999999999999999167332731532 all 


********************************************************************
Time (s)	Growth rate (ML/s)	RMS (-)	Micro-roughness (-)	O2 + 2* -> 2O* (4 N)	O2 + 2* -> 2O* (3 N)	O2 + 2* -> 2O* (2 N)	O2 + 2* -> 2O* (1 N)	CO* + O* -> CO2*	O2 + 2* -> 2O* (0 N)	CO + * -> CO*	O2 + 2* -> 2O* (4 N) (class size)	O2 + 2* -> 2O* (3 N) (class size)	O2 + 2* -> 2O* (2 N) (class size)	O2 + 2* -> 2O* (1 N) (class size)	CO* + O* -> CO2* (class size)	O2 + 2* -> 2O* (0 N) (class size)	CO + * -> CO* (class size)	O* (coverage)	CO* (coverage)	
0	0.000000	10.000000	1.000000	0	0	0	0	0	0	0	10000	0	0	0	0	0	10000	0.000000	0.000000	
0.100087004695939	0.131885	10.013850	1.051600	313	56	4	0	132	0	587	5475	2717	562	61	0	116	8931	0.061400	0.045500	
0.200842488634884	0.222320	10.037310	1.134400	479	150	20	0	356	0	1094	3254	3206	1292	282	0	286	8320	0.094200	0.073800	
0.301422294007992	0.266455	10.065307	1.229400	587	229	60	1	624	0	1560	2076	3024	1789	576	0	469	7934	0.113000	0.093600	
0.401426535303292	0.283988	10.094890	1.325600	654	316	104	10	908	0	2034	1333	2626	2037	962	0	656	7614	0.126000	0.112600	
0.501493268927951	0.286809	10.124698	1.415200	705	383	145	24	1195	0	2521	836	2196	2216	1312	0	795	7355	0.131900	0.132600	
0.601504360823523	0.283969	10.154108	1.496800	730	450	198	44	1479	0	2948	560	1840	2207	1624	0	935	7166	0.136500	0.146900	
0.701553073328432	0.224890	10.177357	1.557400	754	493	236	58	1704	0	3353	371	1498	2218	1838	0	1048	6973	0.137800	0.164900	
0.801820155699647	0.221409	10.200255	1.610000	766	530	285	82	1926	0	3728	280	1236	2149	2038	0	1095	6798	0.140000	0.180200	
0.90215394956342	0.223255	10.223307	1.663200	775	549	326	97	2150	0	4125	216	1063	2100	2121	0	1181	6681	0.134400	0.197500	
1.00230003984159	0.194716	10.243334	1.705800	781	572	368	123	2345	0	4494	149	886	2036	2180	0	1257	6508	0.134300	0.214900	
1.10234066350227	0.210914	10.265038	1.748200	790	594	409	149	2556	0	4886	99	733	1892	2283	0	1335	6342	0.132800	0.233000	
1.20243265661206	0.214802	10.287123	1.790800	794	616	448	176	2771	0	5308	68	581	1734	2387	0	1396	6166	0.129700	0.253700	
1.30264161570993	0.171641	10.304771	1.823800	795	641	476	207	2943	0	5663	48	477	1559	2417	0	1484	5985	0.129500	0.272000	
1.40270082165929	0.162904	10.321492	1.853800	796	660	510	228	3106	0	6013	38	398	1443	2364	0	1568	5811	0.128200	0.290700	
1.50288658580101	0.153714	10.337350	1.880600	798	674	543	247	3260	0	6358	32	320	1287	2340	0	1659	5638	0.126400	0.309800	
1.60295197513235	0.156897	10.353449	1.903200	798	682	575	272	3417	0	6649	27	303	1227	2323	0	1651	5531	0.123700	0.323200	
1.70296904381242	0.166972	10.370603	1.932400	799	691	595	301	3584	0	6990	17	256	1149	2298	0	1686	5406	0.118800	0.340600	
1.80419112096045	0.136334	10.384691	1.953000	799	699	616	331	3722	0	7292	15	218	1080	2242	0	1707	5262	0.116800	0.357000	
1.90505542457956	0.129877	10.398120	1.973000	799	706	630	349	3853	0	7604	13	182	1023	2158	0	1758	5134	0.111500	0.375100	
2.00509703196826	0.124948	10.410985	1.990200	799	713	654	372	3978	0	7901	8	181	924	2085	0	1781	4979	0.109800	0.392300	
2.10513584849882	0.125951	10.423934	2.012200	800	723	674	391	4104	0	8188	6	145	829	2047	0	1817	4844	0.107200	0.408400	
2.20543247603152	0.098707	10.434151	2.028200	800	724	689	414	4203	0	8468	7	115	739	1945	0	1878	4684	0.105100	0.426500	
