Apothesis build on Wed Mar 22 11:03:20 2023
-------------------------------------------------

End time 1000.000000 sec
Temperature 1000.000000 K
Pressure 101325.000000 P
Random init num 0
Lattice SimpleCubic 100 100 
 
Processes
CO + * -> CO* constant 0.5000000000000000277555756156 
CO* + O* -> CO2* constant 1.e+15 
O2 + 2* -> 2O* constant 0.1249999999999999930611060961 all 


********************************************************************
Time (s)	Growth rate (ML/s)	RMS (-)	Micro-roughness (-)	O2 + 2* -> 2O* (4 N)	O2 + 2* -> 2O* (3 N)	O2 + 2* -> 2O* (2 N)	O2 + 2* -> 2O* (1 N)	CO* + O* -> CO2*	O2 + 2* -> 2O* (0 N)	CO + * -> CO*	O2 + 2* -> 2O* (4 N) (class size)	O2 + 2* -> 2O* (3 N) (class size)	O2 + 2* -> 2O* (2 N) (class size)	O2 + 2* -> 2O* (1 N) (class size)	CO* + O* -> CO2* (class size)	O2 + 2* -> 2O* (0 N) (class size)	CO + * -> CO* (class size)	O* (coverage)	CO* (coverage)	
0	0.000000	10.000000	1.000000	0	0	0	0	0	0	0	10000	0	0	0	0	0	10000	0.000000	0.000000	
0.100024986646104	0.101975	10.010704	1.040400	391	52	10	0	102	0	468	5389	2646	642	54	0	99	8830	0.080400	0.036600	
0.20045828015524	0.224029	10.034276	1.124800	600	153	31	2	327	0	877	3131	3174	1342	280	0	278	8205	0.124500	0.055000	
0.300593476219578	0.238677	10.059254	1.210600	725	267	72	6	566	0	1261	1878	2914	1866	630	0	443	7731	0.157400	0.069500	
0.400691650021058	0.264740	10.086878	1.303400	812	358	121	16	831	0	1610	1193	2484	2147	956	0	658	7438	0.178300	0.077900	
0.500817041800964	0.267664	10.114747	1.392800	863	434	173	29	1099	0	1951	815	2107	2171	1313	0	843	7249	0.189900	0.085200	
0.600914110215546	0.240766	10.139744	1.462200	886	512	222	47	1340	0	2296	575	1786	2162	1554	0	973	7050	0.199400	0.095600	
0.701330577819408	0.250955	10.165815	1.534400	910	584	269	75	1592	0	2642	404	1420	2126	1794	0	1122	6866	0.208400	0.105000	
0.80137515657513	0.249889	10.191624	1.594200	930	635	323	105	1842	0	2992	275	1166	2074	2012	0	1179	6706	0.214400	0.115000	
0.901864759687152	0.210967	10.213501	1.646200	946	679	368	136	2054	0	3319	184	937	1980	2175	0	1255	6531	0.220400	0.126500	
1.00191712110424	0.233878	10.237607	1.700000	951	710	413	163	2288	0	3655	126	790	1875	2362	0	1294	6447	0.218600	0.136700	
1.10199884442772	0.194841	10.257675	1.740200	958	724	454	205	2483	0	3955	91	687	1778	2345	0	1428	6329	0.219900	0.147200	
1.20212482935199	0.192757	10.277529	1.778400	958	749	497	235	2676	0	4257	71	568	1735	2338	0	1505	6217	0.220200	0.158100	
1.30304170166143	0.183319	10.296548	1.813800	960	766	525	259	2861	0	4561	59	504	1631	2380	0	1567	6141	0.215900	0.170000	
1.40397202519648	0.187258	10.315949	1.850800	961	787	577	288	3050	0	4876	43	423	1443	2399	0	1690	5998	0.217600	0.182600	
1.50428151639275	0.163494	10.332773	1.881000	962	801	619	319	3214	0	5137	38	345	1360	2413	0	1733	5889	0.218800	0.192300	
1.60476743292487	0.177139	10.351087	1.912000	964	810	651	344	3392	0	5432	28	297	1330	2373	0	1786	5814	0.214600	0.204000	
1.70480925115959	0.160933	10.367666	1.939400	965	820	677	379	3553	0	5713	20	246	1235	2392	0	1818	5711	0.212900	0.216000	
1.80519963113278	0.163362	10.384522	1.967000	965	831	707	416	3717	0	5988	13	205	1138	2343	0	1909	5608	0.212100	0.227100	
1.90539255523292	0.140729	10.398942	1.987600	965	834	731	439	3858	0	6273	10	178	1063	2318	0	1936	5505	0.208000	0.241500	
2.00592138650642	0.126332	10.411950	2.003600	965	841	760	470	3985	0	6531	8	151	992	2271	0	1945	5367	0.208700	0.254600	
2.10600150135917	0.112910	10.423627	2.021800	965	844	784	489	4098	0	6744	6	138	946	2246	0	1952	5288	0.206600	0.264600	
2.20617522546871	0.145747	10.438506	2.038000	965	850	808	522	4244	0	6989	5	127	889	2221	0	1967	5209	0.204600	0.274500	
2.30733399898897	0.148282	10.453918	2.058600	965	856	827	554	4394	0	7256	7	114	834	2154	0	2019	5128	0.201000	0.286200	
2.40771289655176	0.151426	10.469537	2.079200	965	862	848	589	4546	0	7530	6	104	772	2146	0	2006	5034	0.198200	0.298400	
2.50791910352812	0.115761	10.481412	2.091400	966	867	868	619	4662	0	7771	4	89	720	2083	0	2017	4913	0.197800	0.310900	
2.60878299790224	0.129878	10.494794	2.108800	966	870	878	643	4793	0	8003	3	84	678	2054	0	2050	4869	0.192100	0.321000	
2.70901913845715	0.121713	10.507355	2.124000	966	873	897	671	4915	0	8236	2	75	633	2025	0	2045	4780	0.189900	0.332100	
2.80926170005156	0.109734	10.518512	2.134600	966	874	912	696	5025	0	8461	1	69	606	1973	0	2044	4693	0.187100	0.343600	
2.90929036682815	0.104970	10.529292	2.147400	966	875	924	731	5130	0	8657	1	61	573	1887	0	2089	4611	0.186200	0.352700	
3.00939460053841	0.112882	10.540840	2.156600	966	878	945	763	5243	0	8879	0	54	528	1792	0	2129	4503	0.186100	0.363600	
3.11088682201522	0.094589	10.550768	2.169200	966	878	957	780	5339	0	9098	0	50	502	1746	0	2120	4418	0.182300	0.375900	
3.21093364435875	0.107949	10.561775	2.180000	966	880	974	794	5447	0	9312	0	49	463	1735	0	2107	4354	0.178100	0.386500	
3.31196443300171	0.101949	10.572379	2.194400	966	882	984	817	5550	0	9505	1	43	429	1667	0	2157	4297	0.174800	0.395500	
3.41218624302354	0.090799	10.581659	2.203600	966	884	990	835	5641	0	9707	0	41	419	1629	0	2136	4225	0.170900	0.406600	
3.51251209543768	0.104659	10.592403	2.216600	966	886	998	858	5746	0	9920	1	37	395	1619	0	2104	4156	0.167000	0.417400	
3.6126075888035	0.080923	10.600712	2.227000	966	888	1005	878	5827	0	10079	0	39	384	1587	0	2091	4101	0.164700	0.425200	
3.71313512011009	0.080575	10.609034	2.238800	966	888	1012	904	5908	0	10275	0	34	364	1526	0	2077	4001	0.163200	0.436700	
3.81352764229228	0.101601	10.619576	2.251400	966	889	1019	934	6010	0	10459	0	37	354	1483	0	2071	3945	0.160600	0.444900	
3.91422384155962	0.081433	10.627991	2.260400	966	890	1030	947	6092	0	10672	0	29	349	1419	0	2049	3846	0.157400	0.458000	
4.01432468204589	0.069929	10.635121	2.267000	966	892	1038	957	6162	0	10846	0	31	338	1365	0	2038	3772	0.154400	0.468400	
4.11698304014493	0.071110	10.642589	2.275000	966	893	1046	977	6235	0	11036	1	25	299	1281	0	2064	3670	0.152900	0.480100	
4.2174501910411	0.074651	10.650315	2.283200	966	895	1057	990	6310	0	11222	1	24	259	1248	0	2050	3582	0.150600	0.491200	
4.3175914407233	0.080886	10.658654	2.293000	966	895	1065	1006	6391	0	11426	0	15	231	1205	0	2041	3492	0.147300	0.503500	
4.41805481420563	0.071668	10.666082	2.300400	966	895	1071	1017	6463	0	11596	0	16	238	1126	0	2052	3432	0.143500	0.513300	
4.51848104131963	0.061737	10.672399	2.305800	966	896	1075	1024	6525	0	11769	0	16	232	1104	0	2007	3359	0.139700	0.524400	
4.61904092796692	0.068616	10.679569	2.316200	966	896	1081	1045	6594	0	11923	0	13	213	1061	0	2002	3289	0.138200	0.532900	
4.7199956982499	0.052499	10.685022	2.322800	966	897	1085	1061	6647	0	12077	0	9	199	999	0	1992	3199	0.137100	0.543000	
4.82001827608577	0.049989	10.690159	2.326200	966	897	1092	1068	6697	0	12218	0	6	189	990	0	1945	3130	0.134900	0.552100	
4.92102132841641	0.058414	10.696270	2.334200	966	897	1098	1077	6756	0	12371	0	8	166	978	0	1913	3065	0.132000	0.561500	
5.02173815010648	0.058580	10.702313	2.339400	966	897	1101	1096	6815	0	12527	0	8	152	936	0	1887	2983	0.130500	0.571200	
5.12194283778637	0.062871	10.708735	2.344200	966	898	1104	1108	6878	0	12675	0	5	156	901	0	1867	2929	0.127400	0.579700	
5.22216888164004	0.046894	10.713547	2.347400	966	898	1107	1116	6925	0	12805	0	7	160	855	0	1849	2871	0.124900	0.588000	
5.32227542758106	0.057938	10.719436	2.351000	966	898	1113	1123	6983	0	12945	0	7	146	859	0	1809	2821	0.121700	0.596200	
5.42246941967923	0.056890	10.725288	2.356800	966	898	1118	1136	7040	0	13112	0	9	129	831	0	1763	2732	0.119600	0.607200	
5.52250908365056	0.047981	10.730200	2.360800	966	899	1123	1150	7088	0	13230	0	8	112	788	0	1762	2670	0.118800	0.614200	
5.62257646493999	0.043970	10.734654	2.361400	966	901	1127	1157	7132	0	13363	0	10	93	754	0	1742	2599	0.117000	0.623100	
