Apothesis build on Wed Mar 22 11:03:20 2023
-------------------------------------------------

End time 1000.000000 sec
Temperature 1000.000000 K
Pressure 101325.000000 P
Random init num 0
Lattice SimpleCubic 100 100 
 
Processes
CO + * -> CO* constant 0.1 
CO* + O* -> CO2* constant 1.e+15 
O2 + 2* -> 2O* constant 0.225 all 


********************************************************************
Time (s)	Growth rate (ML/s)	RMS (-)	Micro-roughness (-)	O2 + 2* -> 2O* (4 N)	O2 + 2* -> 2O* (3 N)	O2 + 2* -> 2O* (1 N)	O2 + 2* -> 2O* (0 N)	CO* + O* -> CO2*	O2 + 2* -> 2O* (2 N)	CO + * -> CO*	O2 + 2* -> 2O* (4 N) (class size)	O2 + 2* -> 2O* (3 N) (class size)	O2 + 2* -> 2O* (1 N) (class size)	O2 + 2* -> 2O* (0 N) (class size)	CO* + O* -> CO2* (class size)	O2 + 2* -> 2O* (2 N) (class size)	CO + * -> CO* (class size)	O* (coverage)	CO* (coverage)	
0	0.000000	10.000000	1.000000	0	0	0	0	0	0	0	10000	0	0	0	0	0	10000	0.000000	0.000000	
0.100240477101241	0.036911	10.003884	1.014800	642	126	1	0	37	16	91	4759	2895	61	39	0	659	8413	0.153300	0.005400	
0.200309380567516	0.060958	10.010285	1.039200	950	342	4	0	98	64	172	2457	2997	271	112	0	1467	7304	0.262200	0.007400	
0.300326942856205	0.075987	10.018253	1.068200	1135	544	11	0	174	138	242	1333	2433	599	230	0	1855	6450	0.348200	0.006800	
0.400402371029423	0.066950	10.025273	1.094200	1236	689	25	0	241	227	300	729	1942	860	357	0	1940	5828	0.411300	0.005900	
0.5006574368303	0.069822	10.032602	1.120800	1282	822	48	0	311	327	363	401	1425	1105	503	0	1867	5301	0.464700	0.005200	
0.601126239265981	0.051757	10.038043	1.139800	1307	906	73	0	363	386	411	277	1092	1236	601	0	1765	4971	0.498100	0.004800	
0.701664087742263	0.056695	10.044003	1.159800	1338	965	95	0	420	464	463	163	822	1372	728	0	1568	4653	0.530400	0.004300	
0.802519807655191	0.045610	10.048811	1.174800	1349	996	122	0	466	538	510	119	619	1419	821	0	1434	4412	0.554400	0.004400	
0.903624613893174	0.050443	10.054138	1.191600	1358	1024	160	0	517	607	559	72	481	1463	911	0	1250	4177	0.578100	0.004200	
1.0040179582227	0.037851	10.058106	1.204800	1362	1057	194	0	555	662	597	46	367	1471	1012	0	1067	3963	0.599500	0.004200	
1.10417082853307	0.017973	10.059985	1.211400	1364	1076	230	0	573	712	623	33	295	1429	1088	0	914	3759	0.619100	0.005000	
1.20633596844299	0.039152	10.064169	1.224800	1364	1089	265	0	613	746	672	25	241	1417	1155	0	788	3626	0.631500	0.005900	
1.30635947660215	0.028993	10.067194	1.233200	1366	1098	303	0	642	788	703	13	192	1354	1234	0	678	3471	0.646800	0.006100	
1.40661044676355	0.024937	10.069811	1.240000	1368	1111	339	0	667	813	728	8	159	1325	1272	0	580	3344	0.659500	0.006100	
1.50713382723453	0.032828	10.073252	1.250800	1370	1120	368	0	700	840	769	2	114	1280	1327	0	512	3235	0.669600	0.006900	
1.61024678053436	0.027155	10.076170	1.259000	1370	1132	398	0	728	861	798	2	79	1235	1372	0	448	3136	0.679400	0.007000	
1.71095060307308	0.017874	10.078045	1.263800	1370	1135	423	0	746	879	820	2	67	1187	1395	0	407	3058	0.686800	0.007400	
1.81104561033061	0.025975	10.080754	1.271400	1370	1142	443	0	772	895	853	1	56	1152	1414	0	368	2991	0.692800	0.008100	
1.91107809423782	0.024992	10.083358	1.278600	1370	1146	473	0	797	913	885	1	48	1098	1448	0	310	2905	0.700700	0.008800	
2.01219428168239	0.028680	10.086417	1.287800	1370	1147	502	0	826	924	919	1	42	1064	1462	0	278	2847	0.706000	0.009300	
2.11276764158869	0.022869	10.088811	1.294000	1370	1150	522	0	849	934	948	1	34	1006	1500	0	257	2798	0.710300	0.009900	
2.21594874901439	0.018414	10.090788	1.299400	1370	1151	540	0	868	944	975	1	27	981	1504	0	238	2751	0.714200	0.010700	
2.31903781406878	0.017461	10.092661	1.303400	1370	1154	555	0	886	949	995	0	21	947	1521	0	232	2721	0.717000	0.010900	
2.42169078473203	0.018509	10.094637	1.308200	1370	1155	572	0	905	959	1022	0	19	929	1518	0	210	2676	0.720700	0.011700	
2.52212150765092	0.029871	10.097767	1.316400	1370	1156	596	0	935	962	1058	0	18	886	1534	0	206	2644	0.723300	0.012300	
2.62302783346183	0.019820	10.099847	1.320800	1370	1158	609	0	955	969	1084	0	14	860	1548	0	192	2614	0.725700	0.012900	
2.72439754927912	0.022689	10.102237	1.327000	1370	1160	630	0	978	981	1113	0	13	819	1569	0	160	2561	0.730400	0.013500	
2.8248238459389	0.022902	10.104628	1.333400	1370	1163	648	0	1001	987	1141	0	10	800	1574	0	141	2525	0.733500	0.014000	
2.92495053123076	0.021972	10.106933	1.340000	1370	1163	664	0	1023	993	1166	0	9	767	1598	0	126	2500	0.735700	0.014300	
3.03177093894275	0.019659	10.109125	1.343200	1370	1163	683	0	1044	993	1191	0	8	750	1595	0	126	2479	0.737400	0.014700	
3.13323443436708	0.012812	10.110485	1.346800	1370	1163	692	0	1057	997	1212	0	8	734	1597	0	119	2458	0.738700	0.015500	
3.23788902111613	0.021022	10.112779	1.353000	1370	1164	704	0	1079	1005	1238	0	5	707	1612	0	110	2434	0.740700	0.015900	
3.34365510150142	0.023637	10.115394	1.359200	1370	1165	722	0	1104	1007	1269	0	5	667	1627	0	112	2411	0.742400	0.016500	
3.44652446460005	0.017498	10.117262	1.362600	1370	1165	732	0	1122	1014	1291	0	5	669	1620	0	97	2391	0.744000	0.016900	
3.54692805064292	0.015936	10.118933	1.366400	1370	1167	743	0	1138	1021	1310	0	3	631	1640	0	90	2364	0.746400	0.017200	
3.64827699335606	0.030587	10.122159	1.372800	1370	1167	754	0	1169	1027	1349	0	4	632	1630	0	87	2353	0.746700	0.018000	
3.75235250252049	0.020178	10.124377	1.377400	1370	1167	770	0	1190	1032	1375	0	3	615	1625	0	84	2327	0.748800	0.018500	
3.85619252996737	0.022149	10.126771	1.383400	1370	1167	784	0	1213	1034	1401	0	3	605	1629	0	78	2315	0.749700	0.018800	
3.95699437128781	0.021825	10.129092	1.388200	1370	1168	801	0	1235	1037	1424	0	2	596	1615	0	81	2294	0.751700	0.018900	
4.0575614629222	0.019887	10.131204	1.394600	1370	1168	813	0	1255	1042	1447	0	2	574	1628	0	73	2277	0.753100	0.019200	
4.16365018530917	0.018852	10.133316	1.399000	1370	1169	830	0	1275	1046	1471	0	2	548	1638	0	61	2249	0.755500	0.019600	
