Apothesis build on Wed Mar 22 11:03:20 2023
-------------------------------------------------

End time 1000.000000 sec
Temperature 1000.000000 K
Pressure 101325.000000 P
Random init num 0
Lattice SimpleCubic 100 100 
 
Processes
CO + * -> CO* constant 0.3000000000000000166533453694 
CO* + O* -> CO2* constant 1.e+15 
O2 + 2* -> 2O* constant 0.1749999999999999958366636576 all 


********************************************************************
Time (s)	Growth rate (ML/s)	RMS (-)	Micro-roughness (-)	O2 + 2* -> 2O* (4 N)	O2 + 2* -> 2O* (3 N)	O2 + 2* -> 2O* (2 N)	O2 + 2* -> 2O* (1 N)	CO* + O* -> CO2*	O2 + 2* -> 2O* (0 N)	CO + * -> CO*	O2 + 2* -> 2O* (4 N) (class size)	O2 + 2* -> 2O* (3 N) (class size)	O2 + 2* -> 2O* (2 N) (class size)	O2 + 2* -> 2O* (1 N) (class size)	CO* + O* -> CO2* (class size)	O2 + 2* -> 2O* (0 N) (class size)	CO + * -> CO* (class size)	O* (coverage)	CO* (coverage)	
0	0.000000	10.000000	1.000000	0	0	0	0	0	0	0	10000	0	0	0	0	0	10000	0.000000	0.000000	
0.100033434163055	0.085971	10.009026	1.034000	478	103	7	0	86	0	269	5287	2741	563	53	0	83	8727	0.109000	0.018300	
0.200318506307052	0.178491	10.027786	1.103200	758	282	34	2	265	0	525	2883	3044	1373	310	0	243	7853	0.188700	0.026000	
0.300484622908941	0.218637	10.050692	1.186200	917	441	88	14	484	0	762	1669	2667	1832	647	0	471	7286	0.243600	0.027800	
0.400498841463135	0.172975	10.068749	1.245800	995	551	148	23	657	0	968	1075	2242	2013	988	0	594	6912	0.277700	0.031100	
0.500865629582483	0.204251	10.090104	1.311400	1059	661	222	43	862	0	1146	660	1835	2033	1355	0	725	6608	0.310800	0.028400	
0.601276432028923	0.184243	10.109337	1.369000	1093	756	292	66	1047	0	1358	403	1475	1985	1595	0	864	6322	0.336700	0.031100	
0.701467842200074	0.159694	10.125942	1.413600	1115	825	344	90	1207	0	1548	262	1201	1886	1805	0	964	6118	0.354100	0.034100	
0.801686869463703	0.171624	10.143771	1.459400	1134	880	428	122	1379	0	1729	171	925	1788	1925	0	1092	5901	0.374900	0.035000	
0.901833953848956	0.154772	10.159823	1.499600	1144	922	485	164	1534	0	1892	121	751	1631	2069	0	1174	5746	0.389600	0.035800	
1.00190464241454	0.123912	10.172689	1.532400	1156	953	538	202	1658	0	2060	86	605	1468	2169	0	1230	5558	0.404000	0.040200	
1.10223532989967	0.127578	10.185912	1.560800	1162	979	594	236	1786	0	2216	58	484	1367	2186	0	1319	5414	0.415600	0.043000	
1.20233161572759	0.108895	10.197161	1.584000	1165	1002	634	282	1895	0	2366	46	398	1245	2164	0	1405	5258	0.427100	0.047100	
1.30251420435438	0.108801	10.208506	1.612000	1166	1019	677	320	2004	0	2512	36	325	1115	2161	0	1495	5132	0.436000	0.050800	
1.40319103175426	0.114227	10.220406	1.635200	1168	1036	721	362	2119	0	2662	26	265	1020	2113	0	1578	5002	0.445500	0.054300	
